-2.25	0.16
-2.2	0.144
-2.15	0.144
-2.1	0.12
-2.05	0.122
-2	0.142
-1.95	0.154
-1.9	0.164
-1.85	0.116
-1.8	0.162
-1.75	0.152
-1.7	0.168
-1.65	0.186
-1.6	0.202
-1.55	0.158
-1.5	0.23
-1.45	0.204
-1.4	0.274
-1.35	0.318
-1.3	0.366
-1.25	0.402
-1.2	0.516
-1.15	0.614
-1.1	0.754
-1.05	0.986
-1	1.336
-0.95	1.464
-0.9	1.824
-0.85	2.666
-0.8	3.53
-0.75	4.836
-0.7	7.436
-0.65	11.616
-0.6	19.522
-0.55	34.188
-0.5	60.492
-0.45	107.302
-0.4	195.36
-0.35	360.48
-0.3	671.32
-0.25	1333.85
-0.2	2840.61
-0.15	6029.02
-0.1	11204
-0.05	17038.9
0	19869.8
0.05	17114.8
0.1	11066.9
0.15	6250.36
0.2	3748.48
0.25	2228.27
0.3	1050.64
0.35	344.718
0.4	83.38
0.45	18.39
0.5	4.15
0.55	1.118
0.6	0.408
0.65	0.246
0.7	0.204
0.75	0.134
0.8	0.094
0.85	0.122
0.9	0.116
0.95	0.132
1	0.096
1.05	0.112
1.1	0.094
1.15	0.12
1.2	0.108
1.25	0.124
1.3	0.094
1.35	0.104
1.4	0.108
1.45	0.112
1.5	0.094
1.55	0.108
1.6	0.102
1.65	0.12
1.7	0.104
1.75	0.088
1.8	0.082
1.85	0.094
1.9	0.116
1.95	0.11
2	0.102
2.05	0.086
2.1	0.118
2.15	0.1
2.2	0.14
2.25	0.13
2.3	0.122
2.35	0.088
2.4	0.124
2.45	0.102
2.5	0.118
2.55	0.108
2.6	0.096
2.65	0.11
2.7	0.104
2.75	0.138
2.8	0.106
2.85	0.102
2.9	0.088
2.95	0.088
3	0.08
3.05	0.116
3.1	0.116
3.15	0.112
3.2	0.148
3.25	0.124
3.3	0.112
3.35	0.104
3.4	0.106
3.45	0.09
3.5	0.11
3.55	0.118
3.6	0.116
3.65	0.098
3.7	0.116
3.75	0.096
3.8	0.118
3.85	0.118
3.9	0.124
3.95	0.092
4	0.114
4.05	0.116
4.1	0.118
4.15	0.098
4.2	0.106
4.25	0.108
4.3	0.124
4.35	0.118
4.4	0.086
4.45	0.132
4.5	0.104
4.55	0.142
4.6	0.11
4.65	0.106
4.7	0.128
4.75	0.12
4.8	0.094
4.85	0.102
4.9	0.09
4.95	0.124
5	0.136
5.05	0.11
5.1	0.152
5.15	0.098
5.2	0.134
5.25	0.11
5.3	0.108
5.35	0.11
5.4	0.09
5.45	0.098
5.5	0.122
5.55	0.124
5.6	0.108
5.65	0.106
5.7	0.112
5.75	0.14
5.8	0.108
5.85	0.114
5.9	0.096
5.95	0.1
6	0.136
6.05	0.098
6.1	0.122
6.15	0.118
6.2	0.1
6.25	0.13
6.3	0.11
6.35	0.118
6.4	0.088
6.45	0.112
6.5	0.1
6.55	0.126
6.6	0.088
6.65	0.102
6.7	0.086
6.75	0.092
6.8	0.106
6.85	0.106
6.9	0.118
6.95	0.11
7	0.122
7.05	0.104
7.1	0.114
7.15	0.102
7.2	0.124
7.25	0.118
7.3	0.126
7.35	0.114
7.4	0.132
7.45	0.116
7.5	0.112
7.55	0.098
7.6	0.122
7.65	0.108
7.7	0.1
7.75	0.116
7.8	0.108
7.85	0.112
7.9	0.114
7.95	0.868
8	1.414
8.05	1.516
8.1	1.398
8.15	1.438
8.2	1.448
8.25	1.506
8.3	1.516
8.35	1.548
8.4	1.546
8.45	1.592
8.5	1.54
8.55	1.714
8.6	1.686
8.65	1.788
8.7	1.982
8.75	2.148
8.8	2.486
8.85	2.95
8.9	3.294
8.95	3.816
9	4.436
9.05	4.888
9.1	4.928
9.15	5.348
9.2	5.31
9.25	5.078
9.3	4.884
9.35	4.514
9.4	4.544
9.45	4.172
9.5	4.242
9.55	4.056
9.6	4.138
9.65	3.864
9.7	3.972
9.75	3.694
9.8	4.208
9.85	4.168
9.9	4.458
9.95	4.652
10	4.728
10.05	4.384
10.1	4.628
10.15	4.78
10.2	4.982
10.25	5.246
10.3	5.764
10.35	6.542
10.4	7.516
10.45	9.4
10.5	11.898
10.55	16.956
10.6	26.014
10.65	41.056
10.7	56.974
10.75	62.2
10.8	51.284
10.85	35.862
10.9	24.384
10.95	16.952
11	11.978
11.05	7.802
11.1	4.848
11.15	3.552
11.2	3.058
11.25	2.802
11.3	2.512
11.35	2.456
11.4	2.378
11.45	2.298
11.5	2.31
11.55	2.142
11.6	2.24
11.65	2.35
11.7	2.31
11.75	2.294
11.8	2.412
11.85	2.354
11.9	2.486
11.95	2.45
12	2.622
12.05	0.484
12.1	0.442
12.15	0.416
12.2	0.468
12.25	0.214
12.3	0.11
12.35	0.09
12.4	0.102
12.45	0.112
12.5	0.096
12.55	0.1
12.6	0.122
12.65	0.114
12.7	0.098
12.75	0.116
12.8	0.088
12.85	0.096
12.9	0.09
12.95	0.1
13	0.106
13.05	0.076
13.1	0.126
13.15	0.082
13.2	0.08
13.25	0.112
13.3	0.124
13.35	0.084
13.4	0.11
13.45	0.128
13.5	0
