0	13064
6	12976
12	14795
18	14273
24	15592
30	15124
36	14760
42	16438
48	15564
54	16338
60	15685
66	16423
72	16595
78	17348
84	16657
90	17172
96	17767
102	18487
108	19288
114	18355
120	17383
126	16534
132	17185
138	15160
144	15133
150	14801
156	13422
162	13603
168	12484
174	12009
180	11481
186	11001
192	10861
198	10436
204	9929
210	9062
216	7780
222	7205
228	7108
234	6617
240	6505
246	7487
252	7221
258	7287
264	6905
270	7441
276	7395
282	7371
288	7399
294	7944
300	8353
306	8674
312	8774
318	9327
324	9380
330	9733
336	10492
342	10103
348	12879
354	12504
360	11597
