0	11992
6	12019
12	13816
18	13544
24	15009
30	15172
36	15292
42	15353
48	15345
54	13962
60	14940
66	14768
72	14704
78	14588
84	13611
90	14582
96	16346
102	15302
108	15145
114	14879
120	14566
126	14462
132	13331
138	13538
144	12078
150	11303
156	11019
162	11858
168	11166
174	10752
180	10256
186	9735
192	9593
198	9159
204	8918
210	8477
216	8450
222	8181
228	7651
234	7651
240	7264
246	6919
252	7090
258	7825
264	8509
270	8601
276	8963
282	9373
288	9320
294	8999
300	9861
306	10248
312	10517
318	10378
324	10333
330	10527
336	10908
342	12387
348	12762
354	12982
360	13339
