0	10283
6	9885
12	9565
18	9049
24	8662
30	8822
36	8260
42	7889
48	7487
54	7621
60	6952
66	6898
72	6828
78	6876
84	6851
90	7517
96	7125
102	7708
108	7746
114	7981
120	7650
126	7705
132	8327
138	8730
144	8616
150	8958
156	9730
162	9875
168	10285
174	9831
180	10520
186	10306
192	11172
198	11389
204	11508
210	13105
216	13112
222	13544
228	13354
234	13591
240	13815
246	13379
252	13576
258	14854
264	15388
270	15295
276	14731
282	15003
288	14204
294	15537
300	13335
306	13431
312	13207
318	12749
324	12490
330	12015
336	11462
342	10588
348	9190
354	8706
360	10895
