0	9026
6	8883
12	8339
18	8063
24	7993
30	6938
36	7026
42	6266
48	5928
54	5873
60	5741
66	5328
72	4928
78	4860
84	4823
90	4856
96	4627
102	4502
108	4218
114	4751
120	4391
126	4325
132	4563
138	4540
144	4498
150	4574
156	4553
162	4536
168	4928
174	4795
180	4989
186	5188
192	5832
198	6030
204	6326
210	7112
216	7870
222	7322
228	7241
234	8258
240	7794
246	7951
252	7845
258	7818
264	8611
270	9815
276	8439
282	8591
288	8391
294	10473
300	9882
306	9246
312	9821
318	10263
324	10027
330	9545
336	8383
342	8935
348	8998
354	8582
360	9432
